artist,album,date,y_release,y_fitted_global,delta_global
Taylor Swift,Midnights,2022-10-21,132,135.02704812249246,-3.0270481224924595
Drake,Certified Lover Boy,2021-09-03,145,135.5576345011416,9.442365498858408
Bad Bunny,Un Verano Sin Ti,2022-05-06,133,125.30349793101516,7.696502068984842
Drake,Scorpion,2018-06-29,134,118.01940979153912,15.980590208460882
Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,147,127.32388879462911,19.676111205370887
Kanye West,Donda,2021-08-29,142,138.55235533455516,3.447644665444841
Taylor Swift,Red (Taylor's Version),2021-11-12,156,131.44261579920592,24.557384200794075
Taylor Swift,Folklore,2020-07-24,143,122.42274453718414,20.577255462815856
Harry Styles,Harry's House,2022-05-20,133,126.81130931020122,6.188690689798776
Drake & 21 Savage,Her Loss,2022-11-04,184,126.29394361994053,57.706056380059465
