artist,album,date,streams_millions,tier,y_actual,y_predicted,effect,z_score,pred_ci_lower,pred_ci_upper
Taylor Swift,Midnights,2022-10-21,184.6,1,132,126.73854623971557,5.261453760284425,0.3616396252586434,91.46139682551143,162.01569565391972
Drake,Certified Lover Boy,2021-09-03,153.4,1,145,127.27260522042046,17.72739477957954,1.2184709202029769,91.99545580621631,162.5497546346246
Bad Bunny,Un Verano Sin Ti,2022-05-06,183.0,1,133,119.57933828147752,13.420661718522481,0.9224528610790496,84.30218886727337,154.85648769568166
Drake,Scorpion,2018-06-29,132.0,1,134,116.43658380988043,17.56341619011957,1.2072000512864098,81.15943439567627,151.7137332240846
Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,100.0,1,147,120.72524440297487,26.274755597025134,1.8059633707313911,85.44809498877072,156.002393817179
Kanye West,Donda,2021-08-29,95.0,1,142,128.92946957407614,13.070530425923863,0.8983870125102609,93.65232015987198,164.2066189882803
Taylor Swift,Red (Taylor's Version),2021-11-12,90.8,1,156,121.52674164430826,34.47325835569174,2.3694774868691084,86.2495922301041,156.80389105851242
Taylor Swift,Folklore,2020-07-24,80.6,1,143,118.43296049437502,24.567039505624976,1.6885855821050166,83.15581108017088,153.71010990857917
Harry Styles,Harry's House,2022-05-20,97.0,1,133,120.37671731042846,12.623282689571539,0.8676459832926083,85.0995678962243,155.65386672463262
Drake & 21 Savage,Her Loss,2022-11-04,97.4,1,184,120.91728927988927,63.082710720110725,4.335913400460448,85.64013986568511,156.19443869409344
Travis Scott,ASTROWORLD,2018-08-03,72.0,2,120,114.83430828680501,5.165691713194988,0.3550575374172875,79.55715887260087,150.11145770100916
Post Malone,beerbongs & bentleys,2018-04-27,70.0,2,112,104.68026347022749,7.319736529772513,0.5031131881459007,69.40311405602333,139.95741288443165
Post Malone,Hollywood's Bleeding,2019-09-06,65.0,2,104,114.87372358769792,-10.873723587697924,-0.7473921662306069,79.59657417349376,150.15087300190208
Billie Eilish,Happier Than Ever,2021-07-30,60.0,2,170,124.94796479860386,45.05203520139614,3.096596847501585,89.6708153843997,160.22511421280802
Juice WRLD,Legends Never Die,2020-07-10,58.0,2,120,119.25716822670253,0.7428317732974676,0.05105763850920695,83.98001881249837,154.5343176409067
Ariana Grande,thank u next,2019-02-08,56.0,2,90,96.14945224914486,-6.149452249144858,-0.42267512141101643,60.872302834940704,131.426601663349
Olivia Rodrigo,SOUR,2021-05-21,55.0,2,153,120.66288818126866,32.337111818731344,2.222652052622178,85.38573876706451,155.9400375954728
The Weeknd,After Hours,2020-03-20,53.0,2,106,104.86315577090731,1.136844229092688,0.07813960546225653,69.58600635670317,140.14030518511146
Ed Sheeran,= (Equals),2021-10-29,51.0,2,184,125.34669217070706,58.65330782929294,4.031463779778368,90.0695427565029,160.62384158491122
Ariana Grande,Positions,2020-10-30,50.0,2,157,119.55846954173612,37.441530458263884,2.5734980598412913,84.28132012753196,154.83561895594028
Taylor Swift,The Tortured Poets Department,2024-04-19,313.0,3,107,109.11795170394294,-2.1179517039429356,-0.14557483452794298,73.84080228973878,144.3951011181471
Travis Scott,UTOPIA,2023-07-28,128.0,3,133,122.53670322499548,10.463296775004522,0.7191819784192219,87.25955381079132,157.81385263919964
Drake,For All The Dogs,2023-10-06,109.0,3,111,123.80226104013036,-12.802261040130361,-0.8799478425456684,88.5251116259262,159.07941045433452
Beyoncé,Cowboy Carter,2024-03-29,76.1,3,105,105.38397650711853,-0.3839765071185326,-0.02639215822642949,70.10682709291439,140.66112592132268
Billie Eilish,Hit Me Hard and Soft,2024-05-17,72.7,3,121,114.03003237229552,6.969967627704477,0.479072248049494,78.75288295809136,149.30718178649968
SZA,SOS,2022-12-09,68.0,3,126,116.55845587219508,9.441544127804917,0.6489530528645636,81.28130645799092,151.83560528639924
Morgan Wallen,One Thing at a Time,2023-03-03,52.3,3,106,107.52788067933321,-1.527880679333208,-0.1050170202929073,72.25073126512905,142.80503009353737
